Tries,Result
100,1.1906999999999999
600,0.9426374999999999
1100,0.9651886363636363
1600,0.9860484375
2100,0.9733499999999999
2600,0.9426374999999999
3100,0.9218322580645162
3600,0.9453937499999999
4100,0.9535280487804878
4600,0.9491086956521739
5100,0.9552838235294117
5600,0.9408656249999999
6100,0.932064344262295
6600,0.9486511363636364
7100,0.9545165492957746
7600,0.9504710526315788
8100,0.9407999999999999
8600,0.9426374999999999
9100,0.9431826923076922
9600,0.9333351562499999
10100,0.9372341584158416
10600,0.9342127358490565
11100,0.9296756756756757
11600,0.9263851293103448
12100,0.9176262396694215
12600,0.908775
13100,0.9172631679389313
13600,0.9134536764705882
14100,0.9232851063829787
14600,0.9229284246575342
15100,0.9212811258278145
15600,0.9273721153846153
16100,0.9213749999999999
16600,0.9193256024096386
17100,0.9156552631578947
17600,0.9127572443181818
18100,0.9144049723756906
18600,0.9122298387096773
19100,0.9101685863874346
19600,0.91074375
20100,0.9103029850746268
20600,0.911328640776699
21100,0.9113651658767772
21600,0.907265625
22100,0.9127802036199094
22600,0.9154164823008848
23100,0.911065909090909
23600,0.9098427966101694
24100,0.9099056016597509
24600,0.9083524390243901
25100,0.9064658366533864
25600,0.9116296875
26100,0.9139344827586207
26600,0.9105572368421052
27100,0.9127967712177122
27600,0.9163932065217391
28100,0.920214768683274
28600,0.9186986013986013
29100,0.9199623711340206
29600,0.9231947635135134
30100,0.9259901162790698
30600,0.9316124999999998
31100,0.9297159163987138
31600,0.9351014240506328
32100,0.9341369158878504
32600,0.9353325920245399
33100,0.9316957703927492
33600,0.9343687499999999
34100,0.9340535190615835
34600,0.936901950867052
35100,0.9371249999999999
35600,0.9359481741573034
36100,0.9383771468144044
36600,0.9385709016393443
37100,0.9390268867924528
37600,0.9402624335106383
38100,0.9393820866141732
38600,0.9423804404145076
39100,0.9432719309462915
39600,0.9418857954545454
40100,0.9435035536159601
40600,0.9458146551724137
41100,0.9463795620437956
41600,0.9457382812499999
42100,0.9441694774346794
42600,0.9447338028169014
43100,0.9471267981438514
43600,0.9453684633027523
44100,0.9447749999999999
44600,0.9444173206278026
45100,0.9447276053215078
45600,0.9469894736842105
46100,0.946404175704989
46600,0.9471090128755365
47100,0.9471668789808917
47600,0.9468066176470588
48100,0.9458349792099792
48600,0.9469249999999999
49100,0.9475886456211812
49600,0.9476387600806451
50100,0.949470359281437
50600,0.9495008893280632
51100,0.9491424657534246
51600,0.9497524709302324
52100,0.9501603166986564
52600,0.9479194391634981
53100,0.9477762711864407
53600,0.947820895522388
54100,0.9474978743068391
54600,0.9455451923076923
55100,0.9465092558983665
55600,0.9490621402877697
56100,0.9512157754010695
56600,0.9498251766784451
57100,0.9493278021015761
57600,0.9486667968749999
58100,0.9487003012048193
58600,0.9500878412969282
59100,0.9511161167512691
59600,0.9502958053691274
60100,0.948498544093178
60600,0.9477133663366337
61100,0.9484026186579377
61600,0.9498860795454546
62100,0.9503869565217391
62600,0.9500873003194887
63100,0.9502641442155308
63600,0.9490340801886792
64100,0.9506095553822153
64600,0.9506246517027863
65100,0.9509443548387096
65600,0.9514104420731707
66100,0.9512690242057488
66600,0.9509807432432431
67100,0.950253129657228
67600,0.9507105399408283
68100,0.9491213656387665
68600,0.9490017857142856
69100,0.9493147250361794
69600,0.9486252155172412
70100,0.948653281027104
70600,0.9479782223796034
71100,0.9480104430379747
71600,0.9476264664804469
72100,0.9473854368932038
72600,0.9479677685950412
73100,0.9492208276333789
73600,0.9493783288043478
74100,0.9483285425101213
74600,0.9483569034852547
75100,0.9493097536617842
75600,0.95011875
76100,0.948439750328515
76600,0.9492438642297649
77100,0.9490079766536965
77600,0.9495423324742267
78100,0.9494346030729833
78600,0.9485708015267176
79100,0.9492232300884955
79600,0.9491195351758793
80100,0.9506275280898876
80600,0.9491622208436724
81100,0.9491831689272503
81600,0.9499334558823529
82100,0.9499494518879414
82600,0.9494847457627119
83100,0.9492644404332129
83600,0.9495215311004784
84100,0.9494216111771699
84600,0.9481499999999999
85100,0.9478261163337249
85600,0.9479696845794391
86100,0.9482268292682927
86600,0.9481372690531177
87100,0.9486183409873707
87600,0.9480744863013698
88100,0.9475368047673098
88600,0.9473411681715576
89100,0.9470363636363636
89600,0.9475101562499999
90100,0.9467672863485017
90600,0.9467992549668874
91100,0.9472665477497255
91600,0.9471871179039301
92100,0.9471085504885992
92600,0.9470308315334772
93100,0.9468473684210525
93600,0.9478319711538461
94100,0.9474353081827842
94600,0.9472526162790698
95100,0.9463414826498422
95600,0.9457512552301255
96100,0.9450639177939646
96600,0.945308152173913
97100,0.9452433058702369
97600,0.9453824538934426
98100,0.9463293577981651
98600,0.9460590517241378
99100,0.9456913471241171
99600,0.9453273343373494
100100,0.9452643356643357
